,Supermere_2D_S7,Supermere_2D_S8,Supermere_2D_S9,Supermere_3D_S16,Supermere_3D_S17,Supermere_3D_S18,Supermere_FPLC_S23,Supermere_FPLC_S24,Supermere_FPLC_S25,Supermere_FPLC_S26,S1_DiFi_FPLC_2uL,S2_DiFi_His_2uL,S3_CCCR_FPLC_2uL,S4_CCCR_His_2uL
IDH1,5.63283187346731,5.19941682543088,5.6010632248083,6.53634314804013,6.68702972639716,6.46952330692022,6.66842329562374,6.68976629758554,6.77038787523082,5.07062742236231,6.73806241647801,7.08738427172707,5.86020531153133,4.95195458495737
ACTB,6.41030459483856,6.16175461155309,6.18438025778889,6.69597913008651,6.66128907015248,6.45303385549124,5.4804016757228,5.71614232878519,5.81662183535097,5.43280617875318,5.77249427949332,6.42618652355804,6.24336536300091,6.31869112984166
GDI2,5.934426507437,5.88467542582324,5.76491863524682,6.1111050041356,6.03748478850771,6.13934498135135,6.17675205376984,6.04744849854457,6.01965567454159,6.34969925509452,6.84095938126944,4.30370560441847,6.96224707592268,5.27924613611351
DPP3,5.15422705251775,5.45589235104143,5.329072195522,6.1111050041356,6.15281171681669,6.0544472765727,6.74943541494435,6.5294582683963,6.45736400108551,6.7474883280249,6.53204985156213,6.1748476265176,6.01983221903388,4.19696541262012
HSP90AB1,6.50497385462231,6.5117892782645,6.44133813138176,5.76325400331911,5.84511877738475,5.79138204514302,5.17995307366999,5.31842470397621,5.32835028913916,5.46448525955911,6.34863234560928,6.27138490101176,6.21724575582076,6.64838043854647
LGMN,6.09956244362941,5.86268909415906,5.85081995777166,5.70982747651642,5.84511877738475,5.76490640867496,5.94088242261688,5.92389923547583,5.8595789070416,4.98584523080952,6.67260660199198,6.69340857073354,6.21724575582076,5.72851009150129
HEXB,4.77451480718447,4.7974083034535,4.99360403504851,5.83985783290113,6.09630032917745,5.84291883543697,6.69203750475333,6.06704921974318,6.4291231670143,6.76030749505226,5.93017811492412,5.5998353226857,6.07904540135176,6.64838043854647
UBA1,6.01016249640423,5.94869278537258,5.93189268102149,5.83985783290113,5.95513754472015,5.81738055644988,5.90091128238032,5.85791617247838,5.74968838816729,5.18913290837429,5.93017811492412,6.29454260568305,6.26902047872278,5.81184331989005
EGFR,5.12044942532123,5.42621787425945,4.74708521230034,6.22972857025682,6.01733442259898,6.19989249525596,6.30480339528652,6.04744849854457,6.05704582278494,6.64061548390082,6.65011098885598,6.33977182855485,5.07135796698214,5.54584513387568
ALDH1A1,6.50497385462231,6.33144133253856,6.44133813138176,6.77613992441701,6.73717290448517,6.73803177148545,5.4804016757228,6.30023295597366,6.21425465455798,4.19075386455819,6.32041720907885,7.43871315725982,4.59141921398203,2.05409420013722
